subject	imagery_1	imagery_2	imagery_3	stim_1	stim_2	stim_3	stim_4	stim_5-7
1	562.64	568.71	570.92	697.67	624.3	626.99	672.25	622.42
2	561.45	538.26	535.36	573.89	560.38	567.36	560.61	553.95
3	520.67	653.18	625.47	699.34	621.08	649.13	640.77	626.46
4	528.2	533.67	528.7	682.61	595.77	639.56	692.58	602.26
5	617.49	649.87	569.52	740.35	739.57	712.64	715.81	727.87
6	674.96	650.82	668.96	645.51	607.43	602.23	657.45	640.14
7	655.4	606.86	627.37	644.7	620.89	616.09	581.75	599.25
8	594.74	601.15	646.82	638.37	644	680.83	664.65	652.69
9	606	611.75	632.7	617.09	658.74	683.91	666.1	691.7
10	640.78	678.77	645.8	608.39	638.82	647.75	637.81	650.79
11	662.91	633.25	644.96	634.47	608.19	626.18	609.04	606.51
12	623.45	648.68	601.87	650.35	626.31	635.59	610.12	580.92
13	657.82	629	607.93	709.44	708.61	720.53	697.18	700.84
14	637.67	561.5	600.76	629.01	655.53	652.05	684.49	643.74
15	619.19	620.55	648.74	659	636.94	607.92	603.76	621.8
16	629.57	610.86	697.27	602.27	674.6	620.16	574.3	600.15
17	662.43	717.67	702.08	730.96	729.6	699.75	621.55	664.76
18	623.16	638.81	593.65	650.77	624.51	641.67	615.86	628.31
