person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response
5, coloured, 1, no, 1, 1, 1.002386, 1
5, coloured, 1, no, 2, 1, 0.628573, 1
5, coloured, 1, no, 3, 0, 0.473168, -1
5, coloured, 1, no, 4, 1, 0.414353, 1
5, coloured, 2, no, 1, 0, 0.671297, -1
5, coloured, 2, no, 2, 1, 0.780302, 1
5, coloured, 2, no, 3, 0, 1.008551, 1
5, coloured, 3, no, 1, 0, 0.604498, -1
5, coloured, 3, no, 2, 1, 0.810641, 1
5, coloured, 3, no, 3, 0, 0.742282, -1
5, coloured, 3, no, 4, 1, 0.575765, -1
5, coloured, 4, yes, 1, 1, NaN, NaN
5, coloured, 4, yes, 2, 1, NaN, NaN
5, coloured, 4, yes, 3, 1, 0.962956, 1
5, coloured, 4, yes, 4, 0, 0.659630, -1
5, coloured, 5, no, 1, 1, 0.308038, 1
5, coloured, 5, no, 2, 0, 0.393256, -1
5, coloured, 5, no, 3, 1, 0.646881, 1
5, coloured, 5, no, 4, 0, 0.784950, -1
5, coloured, 6, no, 1, 0, 0.434322, 1
5, coloured, 6, no, 2, 0, 0.382085, -1
5, coloured, 6, no, 3, 1, 0.346204, 1
5, coloured, 6, no, 4, 0, 0.313807, -1
5, coloured, 6, no, 5, 1, 0.346330, 1
5, coloured, 7, no, 1, 1, 0.395900, -1
5, coloured, 7, no, 2, 1, 0.340598, 1
5, coloured, 7, no, 3, 1, 0.331692, 1
5, coloured, 8, yes, 1, 1, NaN, NaN
5, coloured, 8, yes, 2, 1, NaN, NaN
5, coloured, 8, yes, 3, 0, 0.878883, -1
5, coloured, 8, yes, 4, 1, 0.498163, 1
5, coloured, 9, yes, 1, 0, NaN, NaN
5, coloured, 9, yes, 2, 1, NaN, NaN
5, coloured, 9, yes, 3, 1, 0.626502, -1
5, coloured, 10, yes, 1, 1, NaN, NaN
5, coloured, 10, yes, 2, 0, NaN, NaN
5, coloured, 10, yes, 3, 1, 0.447029, 1
5, coloured, 11, no, 1, 1, 0.583176, 1
5, coloured, 11, no, 2, 1, 0.387869, 1
5, coloured, 11, no, 3, 1, 0.370019, 1
5, coloured, 11, no, 4, 1, 0.333735, 1
5, coloured, 11, no, 5, 1, 0.310367, 1
5, coloured, 12, no, 1, 1, 0.426565, 1
5, coloured, 12, no, 2, 0, 0.534738, -1
5, coloured, 12, no, 3, 1, 0.335404, 1
5, coloured, 13, no, 1, 0, 0.490030, -1
5, coloured, 13, no, 2, 1, 0.400194, 1
5, coloured, 13, no, 3, 0, 0.396519, -1
5, coloured, 13, no, 4, 1, 0.363497, 1
5, coloured, 13, no, 5, 0, 0.580529, -1
5, coloured, 14, yes, 1, 0, NaN, NaN
5, coloured, 14, yes, 2, 1, NaN, NaN
5, coloured, 14, yes, 3, 1, 0.479050, 1
5, coloured, 15, yes, 1, 1, NaN, NaN
5, coloured, 15, yes, 2, 1, NaN, NaN
5, coloured, 15, yes, 3, 1, 0.470509, 1
5, coloured, 16, no, 1, 0, 0.466198, -1
5, coloured, 16, no, 2, 1, 0.484749, 1
5, coloured, 16, no, 3, 0, 0.519790, -1
5, coloured, 17, no, 1, 0, 0.500592, -1
5, coloured, 17, no, 2, 0, 0.746636, -1
5, coloured, 17, no, 3, 0, 0.466973, -1
5, coloured, 18, yes, 1, 0, NaN, NaN
5, coloured, 18, yes, 2, 1, NaN, NaN
5, coloured, 18, yes, 3, 1, 0.273092, 1
5, coloured, 18, yes, 4, 0, 0.435907, -1
5, coloured, 19, no, 1, 1, 0.367467, 1
5, coloured, 19, no, 2, 1, 0.350731, 1
5, coloured, 19, no, 3, 0, 0.444014, -1
5, coloured, 20, yes, 1, 1, NaN, NaN
5, coloured, 20, yes, 2, 1, NaN, NaN
5, coloured, 20, yes, 3, 0, 0.706832, -1
5, coloured, 21, yes, 1, 1, NaN, NaN
5, coloured, 21, yes, 2, 1, NaN, NaN
5, coloured, 21, yes, 3, 0, 0.697721, 1
5, coloured, 21, yes, 4, 0, 0.768229, 1
5, coloured, 21, yes, 5, 0, 0.351764, -1
5, coloured, 22, yes, 1, 0, NaN, NaN
5, coloured, 22, yes, 2, 1, NaN, NaN
5, coloured, 22, yes, 3, 0, 0.712078, -1
5, coloured, 22, yes, 4, 0, 0.497506, -1
5, coloured, 22, yes, 5, 0, 0.530569, -1
5, coloured, 23, yes, 1, 1, NaN, NaN
5, coloured, 23, yes, 2, 1, NaN, NaN
5, coloured, 23, yes, 3, 0, 0.561443, -1
5, coloured, 23, yes, 4, 0, 0.438537, -1
5, coloured, 24, no, 1, 0, 0.367403, -1
5, coloured, 24, no, 2, 0, 0.409703, -1
5, coloured, 24, no, 3, 1, 0.432969, 1
5, coloured, 25, yes, 1, 0, NaN, NaN
5, coloured, 25, yes, 2, 0, NaN, NaN
5, coloured, 25, yes, 3, 0, 0.581347, -1
5, coloured, 26, yes, 1, 1, NaN, NaN
5, coloured, 26, yes, 2, 1, NaN, NaN
